customer_id,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,senior_citizen,partner,dependents,phone_service,multiple_lines,paperless_billing,churn
2081-KJSQF,1,20.25,20.25,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,1,0
7623-TRNQN,1,49.9,49.9,month_to_month,mailed_check,dsl,No,No,No,Yes,No,No,0,0,1,1,0,1,1
3323-CPBWR,23,96.9,2085.45,month_to_month,credit_card,fiber_optic,No,No,Yes,Yes,Yes,No,0,0,0,1,1,1,0
9330-IJWIO,13,100.35,1358.85,month_to_month,electronic_check,fiber_optic,Yes,No,No,No,Yes,Yes,0,0,0,1,1,1,1
3384-CTMSF,47,104.1,5135.15,month_to_month,electronic_check,fiber_optic,No,Yes,Yes,No,Yes,Yes,0,1,0,1,1,1,0
0902-RFHOF,38,20.1,730.1,one_year,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,0,1,0,0,0
9286-DOJGF,38,74.95,2869.85,month_to_month,bank_transfer,fiber_optic,No,No,No,No,No,No,1,1,0,1,1,1,1
6048-QBXKL,2,56.55,118.25,month_to_month,credit_card,dsl,No,Yes,No,No,No,No,1,0,0,1,1,1,0
9661-MHUMO,1,49.25,49.25,month_to_month,credit_card,dsl,No,No,No,Yes,No,No,1,1,1,1,0,1,1
7718-RXDGG,15,68.6,1108.6,month_to_month,bank_transfer,fiber_optic,No,No,No,No,No,No,0,1,0,1,0,1,0
1025-FALIX,26,69.05,1815.65,month_to_month,credit_card,fiber_optic,No,No,No,No,No,No,0,0,0,1,0,1,0
3451-VAWLI,35,19.7,730.4,two_year,credit_card,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,1,1,1,0,0,0
3407-QGWLG,3,20.05,75.45,month_to_month,mailed_check,none,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,0,1,1,0,1,0
1842-EZJMK,50,103.7,5071.05,month_to_month,electronic_check,fiber_optic,No,Yes,No,Yes,Yes,Yes,0,1,1,1,1,0,1
2347-WKKAE,42,94.4,4014.6,month_to_month,electronic_check,fiber_optic,Yes,No,Yes,No,No,Yes,0,1,0,1,1,1,0
8735-DCXNF,10,54.95,568.85,month_to_month,credit_card,dsl,Yes,No,No,Yes,No,No,0,1,0,1,0,1,0
